original_product,original_category,catalog_product,catalog_category,confidence
LARANJA ZER0%D CAL.2,Frutas e Legumes,Laranja,Frutas & Legumes,Manual
NOV. BIFE ACEM,Talho,Bife,Carne & Peixe,Manual
CAFE,Cafetaria,Café,Bebidas,Manual
ESCOVA C/ PEGA,Casa-Cozinha/Lavand,Escova,Casa,Manual
AZEITONA GALEGA CNT 210G,Frutas e Legumes,Azeitonas,Frutas & Legumes,Manual
AZ.GAL.C/AZEITE ALHO 150GR,Frutas e Legumes,Alho,Frutas & Legumes,Manual
SAL LOLLO/TANGO CNT 150 GR,Frutas e Legumes,Sal,Ingredientes & Temperos,Manual
CAFE LOR COLOMBIA 10CAP,Pequeno Almoco,Café,Bebidas,Manual
AGUA S/GAS MONCHIQUE 6*1.5L,Soft Drinks,Água,Bebidas,Manual
ATUM AZEITE BOM PETISCO 130G,Mercearia Salgada,Atum,Carne & Peixe,Manual
SACO LIXO E CNT 100L 15UN,Limpeza do Lar,Sacos do lixo,Casa,Manual
SOPA DE NABICAS 800G CZ CNT,Take Away,Sopa,Take away,Manual
CURGETE VERDE,Frutas e Legumes,Courgette,Frutas & Legumes,Manual
DET ULTRA PODER ORIG 1250 ML,Limpeza do Lar,Detergente roupa,Casa,Manual
FACA PAO PLASTICO 20CM ESSENCIA,Casa-Cozinha/Lavand,Faca,Casa,Manual
SOL ANANAS COCO 1X160G,Laticinios/Beb. Veg.,Iogurtes,Lacticínios,Manual
MACA GALA ALCOBACA EMB,Frutas e Legumes,Maçã royal gala,Frutas & Legumes,Manual
OVOS DE SOLO CLASSE L CNT,Laticinios/Beb. Veg.,Ovos,Lacticínios,Manual
LEITE CONDENSADO NESTLE 370G,Mercearia Doce,Leite condensado,Lacticínios,Manual
MORANGO EMB. 500 GR,Frutas e Legumes,Morangos,Frutas & Legumes,Manual
CAMARAO COZ. 25/35 KG,Peixaria,Camarões,Carne & Peixe,Manual
OLEO ALIMENTAR FULA 1L,Bens Essenciais,Óleo,Ingredientes & Temperos,Manual
COND ULTRA SUAVE AGUA DE COCO,Higiene,Acondicionador,Higiene & Saúde,Manual
PAO DE AGUA KG,Padaria,Pão,Padaria & Pastelaria,Manual
BATATA FRITA,Rest. e Cafetaria,Batatas fritas,Snacks & Doces,Manual
SALADA IBERIA CNT EMB.100GR,Frutas e Legumes,Salada,Frutas & Legumes,Manual
FRANGO INTEIRO CONTINENTE,Talho,Frango,Carne & Peixe,Manual
ICE TEA LIPTON MANGA 2L,Soft Drinks,Ice tea,Bebidas,Manual
MASSA LETRAS MILANEZA 250G,Bens Essenciais,Massa,Cereais,Manual
