original_product,original_category,catalog_product,catalog_category,confidence
AMACIAD CONC CNT SPA 80D,Limpeza do Lar,Amaciador,Casa,Manual
QJ MEIO GORDO D. PEDRO KG,Charcutaria&Queijos,Queijo,Lacticínios,Manual
PERA ROCHA DO OESTE 65/70 KG,Frutas e Legumes,Peras,Frutas & Legumes,Manual
COND FRUCTIS HIDRA CARAC 250ML,Beleza,Acondicionador,Higiene & Saúde,Manual
DOCE QUINTA JUGAIS ABOBORA 280G,Pequeno Almoco,Doce,Snacks & Doces,Manual
PORCO T ENTRECO,Talho,Carne porco,Casa,Manual
VB FLOR PENALVA DOC DAO 75CL,Vinho e Espirituosas,Vinho branco,Bebidas,Manual
BOLA LENHA 100G,Padaria,Pão,Padaria & Pastelaria,Manual
VT PACHECA PREMIUM DOC DOURO 75,Vinho e Espirituosas,Vinho tinto,Bebidas,Manual
MASS COTOV GD RISC MILANEZA 500,Bens Essenciais,Massa,Cereais,Manual
PORCO CACHACO,Talho,Carne porco,Carne & Peixe,Manual
PELICULA ADERENTE CNT 60M,Limpeza do Lar,Película aderente,Casa,Manual
CALDO VERDE CNT F&B 400G,Take Away,Sopa,Take away,Manual
ARR CAROL EXT LONG SALUDAES 1KG,Bens Essenciais,Arroz carolino,Cereais,Manual
QJ RALADO GRATINAR MIX 2QJ CNT,Charcutaria&Queijos,Queijo,Lacticínios,Manual
PATO INT.C/M GRANEL AT,Talho,Pato,Carne & Peixe,Manual
CREME DE CHOCOLATE NUTELLA 600G,Pequeno Almoco,Nutella,Snacks & Doces,Manual
ESPARREGADO IGLO 750G,Congelados,Esparregado,Congelados,Manual
MELANCIA RISCADA P/ SEM FRAC KG,Frutas e Legumes,Melancia,Frutas & Legumes,Manual
BANANA DA MADEIRA KG,Frutas e Legumes,Bananas,Frutas & Legumes,Manual
MACA GOLDEN CNT KG,Frutas e Legumes,Maçãs,Frutas & Legumes,Manual
QJ S/CASCA M/G VACA/OVELHA LIMI,Charcutaria&Queijos,Queijo,Lacticínios,Manual
COUVE BROCOLO CNT KG,Frutas e Legumes,Brócolos,Frutas & Legumes,Manual
BANANA CAT I CNT KG,Frutas e Legumes,Bananas,Frutas & Legumes,Manual
GB PALMOLIVE NATURALS SENS. 1L,Higiene,Gel de banho,Higiene & Saúde,Manual
ABACAXI SWEET CNT KG,Frutas e Legumes,Ananás,Frutas & Legumes,Manual
QJ. RALADO MOZZARELLA CAMPAINHA,Charcutaria&Queijos,Queijo mozzarella ralado,Lacticínios,Manual
CHOCO CULINARIA PANTAG 70%CACAU,Mercearia Doce,Chocolate culinária,Snacks & Doces,Manual
MAIONESE HELLMANN S 416G,Mercearia Salgada,Maionese,Ingredientes & Temperos,Manual
GRAO BICO COMPAL 468G,Mercearia Salgada,Grão-de-bico,Cereais,Manual
VB TAPADA DAS LEBRES SIG REG AL,Vinho e Espirituosas,Vinho branco,Bebidas,Manual
VVB MURALHAS DE MONCAO DOC 75CL,Vinho e Espirituosas,Vinho verde,Bebidas,Manual
QJ MISTURA SERRAS PENELA,Charcutaria&Queijos,Queijo ovelha/cabra,Lacticínios,Manual
BANANA,Frutas e Legumes,Bananas,Frutas & Legumes,Manual
MASSA COTOVELINHOS MILANE 500G,Bens Essenciais,Massa,Cereais,Manual
VITELAO PA/ACEM AT,Talho,Carne vaca,Carne & Peixe,Manual
PORCO CHISPE,Talho,Rolo papel de cozinha,Casa,Manual
CALVE MAIONESE TD 240G,Mercearia Salgada,Maionese,Ingredientes & Temperos,Manual
AZEITONA PRETA C/CAROCO OXIDADA,Frutas e Legumes,Azeitonas,Ingredientes & Temperos,Manual
REF.C/GAS COCA COLA S/ACUCAR 1L,Soft Drinks,Refrigerante,Bebidas,Manual
ESCO COLGATE EXTRA CLEAN MD 2UN,Higiene,Pasta de dentes,Higiene & Saúde,Manual
BOL DOS MARINHEIROS ARROZ CUETA,Mercearia Doce,Bolachas marinheiras,Padaria & Pastelaria,Manual
MANTEIGA S/SAL MIMOSA 250G,Laticinios/Beb. Veg.,Manteiga s/ sal,Lacticínios,Manual
CHAMPO HERBAL ALOE MOIST 350ML,Beleza,Champô,Higiene & Saúde,Manual
COG BRANCO INTEIRO CNT 300G,Frutas e Legumes,Cogumelos,Frutas & Legumes,Manual
PORCO BIFANAS - LS,Talho,Carne porco,Carne & Peixe,Manual
CHOURICO DE CARNE PORCO PRETO M,Charcutaria&Queijos,Chouriço,Charcutaria,Manual
CARCACA PORTUGUESA 70G,Padaria,Pão,Padaria & Pastelaria,Manual
IOG MYTHOS CNT EQ NAT LIG 1KG,Laticinios/Beb. Veg.,Iogurtes,Lacticínios,Manual
QJ FLAMENGO LIMIANO FATIAS 2*20,Charcutaria&Queijos,Queijo fatiado,Lacticínios,Manual
CEREJA 2 KG,Frutas e Legumes,Cerejas,Frutas & Legumes,Manual
PAST TRIDENT BOTTLE SPEAR 82.5G,Mercearia Doce,Pastilha elástica,Snacks & Doces,Manual
QJ GRANA PADANO CNT 200G,Charcutaria&Queijos,Queijo parmesão,Lacticínios,Manual
PAIO FUNDAO CNT 250G PM,Charcutaria&Queijos,Paio,Charcutaria,Manual
VT COUTADA VELHA SIGNAT REG.ALE,Vinho e Espirituosas,Vinho tinto,Bebidas,Manual
CHA TETLEY COLD MORANGO E MACA,Pequeno Almoco,Chá,Bebidas,Manual
VB LAGAR DE BURMESTER RES DOC D,Vinho e Espirituosas,Vinho branco,Bebidas,Manual
IOG AR MIMOSA 8*120G,Laticinios/Beb. Veg.,Iogurtes,Lacticínios,Manual
MORANGOS CONTINENTE 750G,Congelados,Morangos,Frutas & Legumes,Manual
PAP HIG CONT.POUPANCA,Limpeza do Lar,Papel higiénico,Higiene & Saúde,Manual
GB DOVE REVIVE 750ML,Higiene,Gel duche,Higiene & Saúde,Manual
G BANHO DOVE COCONUT MILK 750ML,Higiene,Gel duche,Higiene & Saúde,Manual
AGUA S/GAS MONCHIQUE 5L,Soft Drinks,Água,Bebidas,Manual
NECTAR COMPAL CL MANG.MAGD.1L,Soft Drinks,Sumo,Bebidas,Manual
SUMO 100% COMPAL CL MACA 1L,Soft Drinks,Sumo,Bebidas,Manual
MANJERICAO MARGAO FR 11G,Mercearia Salgada,Manjericão,Ingredientes & Temperos,Manual
PIMENTAO DOCE MARGAO SAQ 35G,Mercearia Salgada,Pimentão doce,Snacks & Doces,Manual
PAO TRIGO ALENTEJANO MM 500G,Padaria,Pão,Padaria & Pastelaria,Manual
CREME DE LEGUMES 800 GR CZ CNT,Take Away,Sopa,Take away,Manual
SOPA DE FEIJAO VERDE 800 GR CZ,Take Away,Sopa,Take away,Manual
CACETINHO RUSTICO 140G,Padaria,Pão,Padaria & Pastelaria,Manual
MANJERICAO BIO VASO,Frutas e Legumes,Manjericão,Frutas & Legumes,Manual
ARROZ DOCE ESP SALUDAES 500G,Bens Essenciais,Arroz,Cereais,Manual
TOMILHO FOLHAS CNT FRS 20G,Mercearia Salgada,Tomilho,Ingredientes & Temperos,Manual
PIMENTAO DOCE COLORAU MARGAO SA,Mercearia Salgada,Pimentão doce,Snacks & Doces,Manual
MACA GALA SR ALCOBACA KG,Frutas e Legumes,Maças,Frutas & Legumes,Manual
RUCULA SR 100G,Frutas e Legumes,Rúcula,Frutas & Legumes,Manual
PEITO DE FRANGO COMPRA/AT,Talho,Frango,Carne & Peixe,Manual
ROLO COZINHA CONTINENTE 4R 2F,Limpeza do Lar,Rolo de cozinha,Casa,Manual
VT ESPORAO RES,Vinho e Espirituosas,Vinho tinto,Bebidas,Manual
CABRITO QUARTOS - AT,Talho,Cabrito,Carne & Peixe,Manual
OLEO CORP COCO AGRADO 250ML,Beleza,Óleo corpo,Higiene & Saúde,Manual
AMAC COMFOR PEONIA E ROS 110D,Limpeza do Lar,Amaciador,Casa,Manual
DET LIQ MAQ ROUPA SKIP ACT CLEA,Limpeza do Lar,Detergente roupa,Casa,Manual
CUE HUGGIE DRYNITES 13+ MO 11U,Higiene,Fraldas,Higiene & Saúde,Manual
REC MOPA DUPLA ACAO,Casa-Cozinha/Lavand,Mopa,Casa,Manual
PLANTA NAT PICEA CONICA V19CM C,DIY,Plantas,Bricolage & Jardim,Manual
VB VINHA COUTAD,Vinho e Espirituosas,Vinho branco,Bebidas,Manual
AMENDOA C/PELE CNT 200G,Frutas e Legumes,Amêndoa,Frutas & Legumes,Manual
DOURADA NACIONAL (200-600G) KG,Peixaria,Peixe,Carne & Peixe,Manual
CUE HUG DRY NITE MO 8-15A 13UN,Higiene,Fraldas,Higiene & Saúde,Manual
DEO RO NIVEA DRY FAMILIAR 50ML,Higiene,Desodorizante Roll-on,Higiene & Saúde,Manual
MANJERICAO CNT EMB.20GR,Frutas e Legumes,Manjericão,Frutas & Legumes,Manual
NOZ PECAN CNT 200G,Frutas e Legumes,Noz,Frutas & Legumes,Manual
BLOCO 3 TOM C/I,DIY,Bloco de tomadas,Bricolage & Jardim,Manual
PAO ABOBORA NOZES 100G,Padaria,Pão,Padaria & Pastelaria,Manual
CAFE DELTA LOTE CHAVE MAQ 250G,Pequeno Almoco,Café,Bebidas,Manual
TIRAS SALMAO FUMAD FUMADO CNT.S,Charcutaria&Queijos,Salmão fumado,Charcutaria,Manual
BOL.DO MARINHEIROS CLASSICA CUE,Mercearia Doce,Bolachas marinheiras,Padaria & Pastelaria,Manual
BOVINO VAZIA AMERICA DO SUL AT,Talho,Carne vaca,Carne & Peixe,Manual
VT FLOR DE PENALVA DAO 75,Vinho e Espirituosas,Vinho tinto,Bebidas,Manual
VT VINHA MARIA RES DAO 75CL,Vinho e Espirituosas,Vinho tinto,Bebidas,Manual
CAFE DELTA Q BRASIL 10CAP,Pequeno Almoco,Café,Bebidas,Manual
CAFE DELTA Q COLOMBIA 10CAP,Pequeno Almoco,Café,Bebidas,Manual
CAFE DELTA COLOMBIA UNIVER 220G,Pequeno Almoco,Café,Bebidas,Manual
QJ DE OVELHA AMANTEIGADO SEIA C,Charcutaria&Queijos,Queijo ovelha/cabra,Lacticínios,Manual
PORCO PERNIL INTEIRO KG,Talho,Carne porco,Carne & Peixe,Manual
SPLIT LINDAHLS GRAN MOR 2*127G,Laticinios/Beb. Veg.,Iogurtes,Lacticínios,Manual
AMAC CONC COMFORT CRE MADRES SA,Limpeza do Lar,Amaciador,Casa,Manual
L TUDO AJAX MADEIRAS 1L,Limpeza do Lar,Detergente madeiras,Casa,Manual
PENSO AQUASTOP CNT 30UN,Higiene,Pensos,Casa,Manual
NOZ METADES CNT 200G,Frutas e Legumes,Nozes,Frutas & Legumes,Manual
AVELA TORRADA CNT 200G,Frutas e Legumes,Avelas,Frutas & Legumes,Manual
UVA BRANCA S/GRAINHA 500 G,Frutas e Legumes,Uvas,Frutas & Legumes,Manual
CASTANHA,Frutas e Legumes,Castanhas,Frutas & Legumes,Manual
AZ VE OLIVE SERRA SEL PET750ML,Bens Essenciais,Azeite,Ingredientes & Temperos,Manual
CUE NOI BONS SONHOS CNT 8-15,Higiene,Fraldas,Higiene & Saúde,Manual
QJ FLAMENGO -50% LIMIANO FATIA,Charcutaria&Queijos,Queijo fatiado,Lacticínios,Manual
IOG SOL +PROT CNT FRUTAS 8X125G,Laticinios/Beb. Veg.,Iogurtes,Lacticínios,Manual
IOG PROTEICO SOLIDO STRACCIATEL,Laticinios/Beb. Veg.,Iogurtes,Lacticínios,Manual
COMFORT ESSENCIA AZUL 100D,Limpeza do Lar,Amaciador roupa,Casa,Manual
ROLO COZ CNT COMPACTO 2=4 2F,Limpeza do Lar,Rolo de cozinha,Casa,Manual
PH RENOVA EXTRA XXL 24=60R,Limpeza do Lar,Papel higiénico,Higiene & Saúde,Manual
SABONETE MYLABEL 100GR,Higiene,Sabonete,Higiene & Saúde,Manual
CHAPATA CRISTAL 300G,Padaria,Pão,Padaria & Pastelaria,Manual
CH CARNE PRC PRT ALENT CNT SELE,Charcutaria&Queijos,Carne porco,Carne & Peixe,Manual
PALOCO PACIFICO DESF CONT 400G,Peixaria,Peixe,Carne & Peixe,Manual
ROBALO GRANDE FRESCO KG,Peixaria,Peixe,Carne & Peixe,Manual
SALMAO POSTA FRESCO KG,Peixaria,Salmão,Carne & Peixe,Manual
PORCO TIRAS VAO INT. CNT. KG LS,Talho,Carne porco,Carne & Peixe,Manual
ESFREGAO VILEDA ULTRA FRESH 2+1,Limpeza do Lar,Esfregão,Casa,Manual
CAFE DELTA PORTUGAL MU 220G,Pequeno Almoco,Café,Bebidas,Manual
LENCOS BOLSO CNT MINI 3F 15UN,Limpeza do Lar,Lenços,Casa,Manual
PASTA COLGATE TOT ORIG 2X75ML,Higiene,Pasta de dentes,Higiene & Saúde,Manual
MIOLO MEXILHAO CNT CONG 250G,Peixaria,Mexilhão,Carne & Peixe,Manual
CONDICIO HERBAL COCO HIDRA 250M,Beleza,Acondicionador,Higiene & Saúde,Manual
BROCOLOS CONTINENTE 1KG,Congelados,Bróculos,Frutas & Legumes,Manual
TAB LINDT EXCEL NEGRO 100G,Mercearia Doce,Chocolate,Snacks & Doces,Manual
REB HALS VITA C CITRICO 32G,Mercearia Doce,Rebuçados,Snacks & Doces,Manual
NABICA BABY CNT 150G,Frutas e Legumes,Nabiças,Frutas & Legumes,Manual
MAMAO,Frutas e Legumes,Mamão,Frutas & Legumes,Manual
REB DR BAYARD PEITORAIS 100G,Mercearia Doce,Rebuçados,Snacks & Doces,Manual
MANT DE AMEND PED WAYUP 500G,Mercearia Salgada,Manteiga de amendoim,Snacks e Doces,Manual
PERA ROCHA DOP OESTE CAL 55/65,Frutas e Legumes,Pêras,Frutas & Legumes,Manual
CH SIGNATURE CNT SELECAO 250G,Charcutaria&Queijos,Chouriço,Carne & Peixe,Manual
MOLHO NATA MIMOSA BECHAMEL,Laticinios/Beb. Veg.,Molho béchamel,Lacticínios,Manual
SKYR SOL CNT EQ NATURAL 150G,Laticinios/Beb. Veg.,Iogurtes,Lacticínios,Manual
ESCOVA MANUAL ORAL-B PRO-CLEAN,Higiene,Escova dos dentes,Higiene & Saúde,Manual
GB CREMOSO MYLABEL DOYPACK 1,5L,Higiene,Gel banho,Higiene & Saúde,Manual
TAB CNT CHOC NEGRO C/AVELAS 200,Mercearia Doce,Chocolate,Snacks & Doces,Manual
LIPTON MANGA ZERO ACUCAR PET 2L,Soft Drinks,Refrigerante,Bebidas,Manual
BAT FRIT MENOS GORD CNT 170G,Mercearia Salgada,Batatas fritas,Snacks & Doces,Manual
PRESUNTO FAT 7M CNT,Charcutaria&Queijos,Presunto,Charcutaria,Manual
QJ FETA DOP CONTINENTE,Charcutaria&Queijos,Queijo feta,Lacticínios,Manual
VAQUEIRO LIQUIDA 500ML,Laticinios/Beb. Veg.,Manteiga líquida,Lacticínios,Manual
